0,0,0,0,0.99257,0,0.12167,0,6.793,0,1.6897,0,0,0
0.01,0.069993,2.1192e-05,0.00010014,0.99242,-0.00027362,0.12293,-0.00014617,6.7884,0.0027838,1.7122,-0.029458,0.14815,-0.020303
0.02,0.13999,4.2383e-05,0.00020027,0.99226,-0.00054723,0.12418,-0.00029234,6.7838,0.0055676,1.7347,-0.058915,0.29629,-0.040607
0.03,0.20998,6.3575e-05,0.00030041,0.9921,-0.00082085,0.12544,-0.00043851,6.7791,0.0083514,1.7572,-0.088373,0.44444,-0.06091
0.04,0.27997,9.1229e-05,0.00040145,0.99188,-0.0011989,0.12716,-0.00063487,6.7724,0.01152,1.7848,-0.11905,0.5963,-0.081731
0.05,0.34989,0.00018297,0.00051136,0.99105,-0.0026132,0.13349,-0.001329,6.7449,0.018509,1.8634,-0.16184,0.78503,-0.10769
0.06,0.41981,0.00027471,0.00062128,0.99017,-0.0040273,0.13981,-0.0020231,6.7174,0.025498,1.942,-0.20462,0.97376,-0.13365
0.07,0.48974,0.00036645,0.0007312,0.98925,-0.0054413,0.14613,-0.0027171,6.6898,0.032487,2.0206,-0.24741,1.1625,-0.15961
0.08,0.55966,0.00045819,0.00084112,0.98828,-0.006855,0.15244,-0.003411,6.6623,0.039477,2.0992,-0.29019,1.3512,-0.18557
0.09,0.62959,0.00054993,0.00095103,0.98728,-0.0082684,0.15874,-0.0041047,6.6348,0.046466,2.1778,-0.33298,1.54,-0.21153
0.1,0.69951,0.00064168,0.001061,0.98623,-0.0096815,0.16504,-0.0047982,6.6072,0.053455,2.2564,-0.37576,1.7287,-0.23749
0.11,0.76937,0.00072527,0.0010088,0.98505,-0.011257,0.17179,-0.0055512,6.5768,0.060043,2.3365,-0.41592,1.8901,-0.26121
0.12,0.8388,0.00075458,-0.00012354,0.98325,-0.013917,0.18161,-0.006701,6.5271,0.063958,2.4265,-0.4386,1.8697,-0.27001
0.13,0.90824,0.00078389,-0.0012559,0.98134,-0.016575,0.1914,-0.00785,6.4773,0.067873,2.5165,-0.46128,1.8494,-0.27881
0.14,0.97767,0.00081319,-0.0023882,0.97932,-0.019232,0.20118,-0.0089983,6.4276,0.071788,2.6065,-0.48396,1.829,-0.28761
0.15,1.0471,0.0008425,-0.0035206,0.9772,-0.021887,0.21093,-0.010146,6.3779,0.075703,2.6964,-0.50664,1.8086,-0.29641
0.16,1.1165,0.00087181,-0.0046529,0.97498,-0.024539,0.22066,-0.011292,6.3281,0.079618,2.7864,-0.52932,1.7882,-0.30521
0.17,1.1858,0.00085553,-0.0061792,0.97275,-0.027243,0.22991,-0.01242,6.2789,0.082017,2.8663,-0.54889,1.7636,-0.31396
0.18,1.2547,0.00068154,-0.0090682,0.97082,-0.030136,0.23752,-0.013487,6.2316,0.079173,2.9112,-0.55768,1.7248,-0.32254
0.19,1.3231,0.00033666,-0.012701,0.96881,-0.033122,0.24514,-0.014597,6.185,0.075069,2.9517,-0.56175,1.6675,-0.32538
0.2,1.3912,-0.00012518,-0.016843,0.96673,-0.036172,0.25275,-0.015734,6.1389,0.070103,2.9892,-0.56259,1.5977,-0.32427
0.21,1.4592,-0.00058702,-0.020986,0.96457,-0.039218,0.26034,-0.01687,6.0927,0.065136,3.0267,-0.56343,1.5278,-0.32316
0.22,1.5273,-0.0010489,-0.025128,0.96235,-0.042262,0.26792,-0.018005,6.0466,0.06017,3.0643,-0.56427,1.458,-0.32206
0.23,1.5941,-0.0020677,-0.031274,0.96043,-0.045036,0.27418,-0.019064,6.009,0.052368,3.0788,-0.54683,1.3881,-0.31639
0.24,1.6604,-0.0033423,-0.03834,0.95865,-0.047685,0.27985,-0.020088,5.9752,0.043264,3.0829,-0.52099,1.3184,-0.30862
0.25,1.7267,-0.0046169,-0.045407,0.95682,-0.050332,0.2855,-0.02111,5.9414,0.03416,3.0869,-0.49515,1.2486,-0.30086
0.26,1.793,-0.0058915,-0.052473,0.95496,-0.052977,0.29114,-0.022132,5.9076,0.025056,3.0909,-0.46931,1.1788,-0.2931
0.27,1.8593,-0.0071661,-0.05954,0.95305,-0.055619,0.29676,-0.023153,5.8739,0.015952,3.0949,-0.44348,1.109,-0.28533
0.28,1.9256,-0.0084407,-0.066606,0.9511,-0.05826,0.30238,-0.024173,5.8401,0.0068483,3.099,-0.41764,1.0392,-0.27757
0.29,1.9919,-0.0097153,-0.073673,0.94911,-0.060897,0.30798,-0.025192,5.8063,-0.0022557,3.103,-0.3918,0.96942,-0.2698
0.3,2.0566,-0.011918,-0.083283,0.94756,-0.062733,0.31227,-0.026183,5.7834,-0.011221,3.0901,-0.3549,0.92091,-0.26138
0.31,2.1206,-0.014475,-0.093862,0.94617,-0.064262,0.31606,-0.027164,5.7647,-0.020134,3.0708,-0.31379,0.88051,-0.25271
0.32,2.1846,-0.017031,-0.10444,0.94476,-0.065791,0.31985,-0.028144,5.7459,-0.029047,3.0514,-0.27268,0.84011,-0.24403
0.33,2.2486,-0.019588,-0.11502,0.94334,-0.067318,0.32362,-0.029123,5.7272,-0.037959,3.0321,-0.23157,0.79971,-0.23536
0.34,2.3126,-0.022144,-0.1256,0.94189,-0.068843,0.3274,-0.030102,5.7084,-0.046872,3.0127,-0.19046,0.7593,-0.22669
0.35,2.3766,-0.0247,-0.13618,0.94043,-0.070368,0.33116,-0.031081,5.6897,-0.055785,2.9934,-0.14935,0.7189,-0.21801
0.36,2.4396,-0.027958,-0.14835,0.93915,-0.071256,0.3345,-0.03213,5.6755,-0.062796,2.9711,-0.11205,0.69028,-0.21219
0.37,2.5021,-0.031492,-0.16113,0.93792,-0.071913,0.33768,-0.033215,5.663,-0.068981,2.9478,-0.075465,0.66687,-0.20759
0.38,2.5639,-0.035546,-0.17503,0.9368,-0.07218,0.34061,-0.034386,5.6535,-0.073421,2.9231,-0.038334,0.65473,-0.20553
0.39,2.6256,-0.039601,-0.18894,0.93566,-0.072446,0.34354,-0.035556,5.6439,-0.077861,2.8985,-0.0012027,0.64259,-0.20347
0.4,2.6874,-0.043656,-0.20284,0.93452,-0.072711,0.34646,-0.036726,5.6344,-0.082301,2.8738,0.035929,0.63046,-0.20141
0.41,2.7487,-0.04806,-0.21747,0.93339,-0.072772,0.34934,-0.037974,5.6259,-0.085497,2.8497,0.068915,0.62161,-0.20053
0.42,2.8088,-0.053368,-0.23398,0.93233,-0.072305,0.35211,-0.039423,5.6203,-0.085475,2.8267,0.091187,0.62127,-0.20267
0.43,2.8688,-0.058676,-0.25049,0.93125,-0.071838,0.35488,-0.040872,5.6146,-0.085454,2.8038,0.11346,0.62092,-0.20482
0.44,2.9289,-0.063985,-0.267,0.93017,-0.07137,0.35764,-0.042321,5.609,-0.085433,2.7809,0.13573,0.62058,-0.20697
0.45,2.9889,-0.069293,-0.2835,0.92907,-0.0709,0.3604,-0.043769,5.6033,-0.085412,2.758,0.158,0.62024,-0.20911
0.46,3.049,-0.074601,-0.30001,0.92796,-0.070431,0.36316,-0.045217,5.5977,-0.085391,2.735,0.18028,0.6199,-0.21126
0.47,3.109,-0.07991,-0.31652,0.92684,-0.06996,0.36591,-0.046664,5.592,-0.08537,2.7121,0.20255,0.61956,-0.2134
0.48,3.1685,-0.085677,-0.33398,0.92573,-0.069379,0.36864,-0.048189,5.5874,-0.084327,2.6899,0.21851,0.61828,-0.21605
0.49,3.2266,-0.092431,-0.35347,0.92461,-0.068563,0.37135,-0.04988,5.585,-0.081089,2.6691,0.22093,0.615,-0.21976
0.5,3.2847,-0.099185,-0.37297,0.92349,-0.067745,0.37406,-0.051572,5.5826,-0.077851,2.6483,0.22334,0.61172,-0.22347
0.51,3.3428,-0.10594,-0.39246,0.92235,-0.066927,0.37676,-0.053262,5.5802,-0.074614,2.6276,0.22576,0.60844,-0.22718
0.52,3.4009,-0.11269,-0.41196,0.9212,-0.066108,0.37946,-0.054952,5.5778,-0.071376,2.6068,0.22818,0.60516,-0.23089
0.53,3.459,-0.11945,-0.43145,0.92005,-0.065288,0.38216,-0.056641,5.5754,-0.068139,2.5861,0.23059,0.60188,-0.23459
0.54,3.5167,-0.12654,-0.45166,0.9189,-0.064499,0.3848,-0.058343,5.574,-0.064834,2.5649,0.23123,0.59543,-0.2381
0.55,3.5737,-0.13411,-0.47289,0.91776,-0.063756,0.38736,-0.060064,5.5738,-0.061433,2.5433,0.22933,0.58446,-0.24132
0.56,3.63,-0.14215,-0.49509,0.91666,-0.06305,0.38979,-0.061801,5.5752,-0.057925,2.5207,0.2254,0.56941,-0.24452
0.57,3.6862,-0.15033,-0.51757,0.91557,-0.062354,0.39217,-0.063542,5.5769,-0.054388,2.4978,0.22089,0.55323,-0.24771
0.58,3.7424,-0.1585,-0.54006,0.91448,-0.061657,0.39455,-0.065283,5.5787,-0.05085,2.4749,0.21639,0.53705,-0.2509
0.59,3.7985,-0.16668,-0.56254,0.91337,-0.060959,0.39693,-0.067023,5.5805,-0.047312,2.452,0.21189,0.52087,-0.25409
0.6,3.8533,-0.17587,-0.58712,0.91242,-0.060412,0.39889,-0.06876,5.5858,-0.044076,2.426,0.2083,0.50107,-0.25702
0.61,3.9079,-0.18521,-0.61201,0.91149,-0.059886,0.40078,-0.070497,5.5916,-0.040883,2.3995,0.20484,0.48074,-0.25992
0.62,3.9625,-0.19455,-0.6369,0.91056,-0.05936,0.40267,-0.072233,5.5974,-0.03769,2.3731,0.20139,0.46041,-0.26281
0.63,4.017,-0.20389,-0.66179,0.90961,-0.058833,0.40456,-0.073969,5.6032,-0.034497,2.3466,0.19793,0.44007,-0.2657
0.64,4.0716,-0.21323,-0.68669,0.90867,-0.058306,0.40644,-0.075704,5.609,-0.031304,2.3202,0.19448,0.41974,-0.2686
0.65,4.1262,-0.22257,-0.71158,0.90771,-0.057778,0.40833,-0.077438,5.6148,-0.028111,2.2937,0.19102,0.39941,-0.27149
0.66,4.1808,-0.23191,-0.73647,0.90675,-0.05725,0.4102,-0.079172,5.6206,-0.024918,2.2673,0.18757,0.37908,-0.27439
0.67,4.2337,-0.24251,-0.76383,0.90598,-0.056836,0.4116,-0.080931,5.6299,-0.021872,2.2387,0.18844,0.36499,-0.27714
0.68,4.2865,-0.25323,-0.79142,0.90524,-0.056433,0.41294,-0.082693,5.6394,-0.018841,2.2099,0.18973,0.35152,-0.27987
0.69,4.3392,-0.26395,-0.81902,0.90449,-0.056029,0.41428,-0.084454,5.649,-0.015809,2.1811,0.19103,0.33804,-0.28261
0.7,4.392,-0.27467,-0.84662,0.90373,-0.055625,0.41562,-0.086215,5.6586,-0.012778,2.1523,0.19232,0.32456,-0.28534
0.71,4.4448,-0.28539,-0.87422,0.90297,-0.055221,0.41695,-0.087975,5.6681,-0.0097459,2.1236,0.19361,0.31109,-0.28808
