0,0,0,0,0.99257,0,0.12169,0,6.793,0,1.6897,0,0,0
0.01,0.069908,-2.9337e-05,-0.00010387,0.99268,0.00071267,0.12081,0.00011404,6.7935,-0.0034186,1.6714,0.029827,-0.14071,0.043597
0.02,0.13982,-5.8675e-05,-0.00020774,0.99278,0.0014253,0.11993,0.00022809,6.794,-0.0068372,1.6531,0.059654,-0.28141,0.087195
0.03,0.20973,-8.8012e-05,-0.00031161,0.99289,0.002138,0.11904,0.00034213,6.7944,-0.010256,1.6348,0.089481,-0.42212,0.13079
0.04,0.27951,-0.00020008,-0.0004269,0.99318,0.0022339,0.11654,0.001175,6.7957,-0.025673,1.5965,0.065875,-0.61218,0.19872
0.05,0.34886,-0.00062326,-0.00058517,0.99415,1.059e-05,0.10795,0.0047108,6.8002,-0.086208,1.4831,-0.15865,-0.98784,0.35811
0.06,0.4182,-0.0010464,-0.00074344,0.99502,-0.0022128,0.099351,0.0082461,6.8046,-0.14674,1.3697,-0.38318,-1.3635,0.51751
0.07,0.48754,-0.0014696,-0.00090171,0.99579,-0.0044359,0.090741,0.011781,6.8091,-0.20728,1.2563,-0.60771,-1.7391,0.67691
0.08,0.55689,-0.0018928,-0.00106,0.99648,-0.0066586,0.082123,0.015314,6.8135,-0.26781,1.1428,-0.83224,-2.1148,0.8363
0.09,0.62623,-0.002316,-0.0012182,0.99708,-0.0088807,0.073498,0.018846,6.818,-0.32835,1.0294,-1.0568,-2.4904,0.9957
0.1,0.69557,-0.0027391,-0.0013765,0.99758,-0.011102,0.064866,0.022377,6.8224,-0.38888,0.916,-1.2813,-2.8661,1.1551
0.11,0.76453,-0.0034212,-0.00058736,0.99816,-0.01705,0.050723,0.02857,6.8171,-0.48117,0.74903,-1.5378,-3.2161,1.3068
0.12,0.83304,-0.0044072,0.0013142,0.99845,-0.027366,0.030094,0.037879,6.8004,-0.61075,0.51916,-1.8319,-3.5359,1.4496
0.13,0.90155,-0.0053932,0.0032158,0.99813,-0.037664,0.0094474,0.047165,6.7837,-0.74032,0.28929,-2.126,-3.8557,1.5923
0.14,0.97006,-0.0063792,0.0051173,0.99719,-0.04794,-0.011206,0.056421,6.767,-0.8699,0.059428,-2.4201,-4.1755,1.735
0.15,1.0386,-0.0073653,0.0070189,0.99564,-0.058186,-0.031851,0.065643,6.7502,-0.99947,-0.17044,-2.7142,-4.4954,1.8777
0.16,1.1071,-0.0083513,0.0089204,0.99346,-0.068395,-0.052478,0.074824,6.7335,-1.129,-0.4003,-3.0083,-4.8152,2.0205
