0,0,0,0,0.99256,0,0.12172,0,6.793,0,1.6897,0,0,0
0.01,0.069931,1.0315e-05,-1.7709e-05,0.99256,-0.00021507,0.12173,-7.2802e-05,6.7931,0.0032297,1.6899,-0.086694,0.0045464,-0.045631
0.02,0.13986,9.8407e-05,-3.6278e-05,0.99255,-0.0016071,0.12182,-0.00064823,6.7925,0.015632,1.6909,-0.28068,0.01923,-0.15782
0.03,0.20979,0.00021141,-5.5122e-05,0.99253,-0.0033762,0.12193,-0.0013847,6.7917,0.030973,1.6923,-0.50905,0.03716,-0.29132
0.04,0.27971,0.0004294,-8.0853e-05,0.99248,-0.006811,0.12217,-0.0028105,6.7897,0.053983,1.6951,-0.78976,0.06139,-0.44695
0.05,0.34962,0.00073532,-0.00011235,0.99239,-0.011641,0.12252,-0.0048138,6.7865,0.083417,1.699,-1.1143,0.090897,-0.6211
0.06,0.4195,0.0011252,-0.00015992,0.99221,-0.018141,0.12301,-0.0074052,6.7823,0.11623,1.7048,-1.4702,0.12141,-0.78063
0.07,0.48936,0.0016006,-0.00023219,0.9919,-0.026836,0.12366,-0.010633,6.7768,0.15166,1.7135,-1.8388,0.15197,-0.92701
0.08,0.55919,0.0021151,-0.00034515,0.99137,-0.038259,0.12452,-0.014522,6.7706,0.18559,1.7267,-2.1497,0.17762,-1.0402
0.09,0.62901,0.0026336,-0.00046236,0.99068,-0.049963,0.12539,-0.018478,6.7643,0.21937,1.7405,-2.4546,0.20276,-1.15
0.1,0.69881,0.0030883,-0.00061592,0.98969,-0.063494,0.12637,-0.022827,6.7581,0.24867,1.7578,-2.6772,0.22105,-1.2273
0.11,0.76861,0.0035147,-0.00078564,0.98842,-0.077828,0.1274,-0.027347,6.752,0.27598,1.7766,-2.8633,0.23628,-1.2902
0.12,0.83842,0.0037836,-0.00098328,0.98682,-0.093018,0.12846,-0.032041,6.7464,0.29778,1.7968,-2.9748,0.24489,-1.3273
0.13,0.90823,0.0038993,-0.0012007,0.98492,-0.10864,0.12952,-0.036818,6.7414,0.31517,1.8174,-3.0295,0.24867,-1.3462
0.14,0.97807,0.0036315,-0.0014452,0.98274,-0.12429,0.13054,-0.041613,6.7376,0.32464,1.8367,-2.9943,0.24563,-1.3382
