0,0,0,0,0.99256,0,0.12172,0,6.793,0,1.6897,0,0,0
0.01,0.069931,1.0316e-05,-1.7714e-05,0.99256,-0.00021507,0.12173,-7.2802e-05,6.7931,0.0032297,1.6899,-0.086694,0.0045245,-0.045632
0.02,0.13986,9.8404e-05,-3.6312e-05,0.99255,-0.0016071,0.12182,-0.00064821,6.7925,0.015632,1.6909,-0.28069,0.01917,-0.15781
0.03,0.20979,0.0002114,-5.5193e-05,0.99253,-0.003376,0.12193,-0.0013846,6.7917,0.030971,1.6922,-0.50904,0.037057,-0.29131
0.04,0.27971,0.00042937,-8.0977e-05,0.99248,-0.0068111,0.12217,-0.0028103,6.7897,0.053977,1.695,-0.78978,0.061252,-0.4469
0.05,0.34962,0.00073524,-0.00011254,0.99239,-0.011641,0.12252,-0.0048132,6.7865,0.083402,1.699,-1.1144,0.090727,-0.62099
0.06,0.4195,0.0011251,-0.00016017,0.99221,-0.018142,0.12301,-0.007404,6.7823,0.1162,1.7048,-1.4703,0.12121,-0.78043
0.07,0.48936,0.0016003,-0.0002325,0.9919,-0.026837,0.12366,-0.01063,6.7768,0.1516,1.7134,-1.8392,0.15177,-0.92672
0.08,0.55919,0.0021146,-0.00034547,0.99137,-0.038263,0.12452,-0.014517,6.7706,0.1855,1.7267,-2.1503,0.17744,-1.0398
0.09,0.62901,0.0026329,-0.00046268,0.99068,-0.049969,0.12538,-0.018471,6.7643,0.21923,1.7404,-2.4553,0.20259,-1.1495
0.1,0.69882,0.0030873,-0.00061617,0.98969,-0.063505,0.12637,-0.022816,6.7581,0.24848,1.7577,-2.6782,0.22091,-1.2267
0.11,0.76862,0.0035134,-0.00078577,0.98842,-0.077843,0.12739,-0.027333,6.752,0.27573,1.7765,-2.8645,0.2362,-1.2895
0.12,0.83842,0.0037819,-0.0009832,0.98682,-0.093038,0.12845,-0.032023,6.7464,0.29746,1.7967,-2.976,0.24487,-1.3266
0.13,0.90824,0.003897,-0.0012004,0.98492,-0.10866,0.12951,-0.036796,6.7414,0.31477,1.8173,-3.0308,0.24872,-1.3454
0.14,0.97808,0.003629,-0.0014443,0.98274,-0.12432,0.13053,-0.041586,6.7377,0.32416,1.8366,-2.9958,0.24579,-1.3373
0.15,1.0479,0.003361,-0.0016883,0.98029,-0.13994,0.13152,-0.046365,6.7339,0.33355,1.8559,-2.9608,0.24286,-1.3293
0.16,1.1178,0.0025525,-0.0019458,0.9777,-0.15481,0.13242,-0.051037,6.7317,0.33523,1.8718,-2.8484,0.23641,-1.2993
0.17,1.1877,0.0016417,-0.0022058,0.97489,-0.16951,0.13328,-0.055678,6.7298,0.33545,1.8871,-2.7215,0.2293,-1.2651
0.18,1.2576,0.00012685,-0.0024589,0.97208,-0.18297,0.13404,-0.060141,6.7294,0.32985,1.8984,-2.5444,0.22324,-1.2165
0.19,1.3275,-0.0017757,-0.0026979,0.96925,-0.19554,0.13475,-0.064476,6.7297,0.32139,1.9074,-2.3457,0.21932,-1.1616
0.2,1.3974,-0.0043239,-0.0029041,0.96658,-0.20661,0.1354,-0.068601,6.7312,0.30898,1.9129,-2.1209,0.22023,-1.0988
0.21,1.4673,-0.006872,-0.0031102,0.96376,-0.21765,0.13604,-0.072716,6.7326,0.29657,1.9185,-1.896,0.22115,-1.036
0.22,1.5373,-0.010466,-0.0032365,0.96139,-0.22627,0.13669,-0.076509,6.735,0.27967,1.9202,-1.6524,0.23232,-0.96601
0.23,1.6072,-0.014146,-0.003355,0.95897,-0.23468,0.13733,-0.080271,6.7376,0.26247,1.9218,-1.4083,0.2444,-0.8957
0.24,1.6771,-0.018712,-0.0033869,0.95696,-0.24112,0.13807,-0.083778,6.7404,0.24257,1.9218,-1.1642,0.26577,-0.82256
0.25,1.747,-0.023841,-0.0033585,0.9552,-0.24638,0.13891,-0.08713,6.7431,0.22121,1.9218,-0.92711,0.29231,-0.74843
0.26,1.8168,-0.029634,-0.0032576,0.95374,-0.25031,0.13989,-0.090301,6.7456,0.19818,1.922,-0.70028,0.32459,-0.67334
0.27,1.8867,-0.035598,-0.0031384,0.95234,-0.25392,0.1409,-0.093424,6.748,0.17471,1.9224,-0.47759,0.35779,-0.5981
0.28,1.9564,-0.042639,-0.0029037,0.95141,-0.25561,0.14222,-0.096253,6.7494,0.14848,1.9244,-0.28103,0.39681,-0.52188
0.29,2.0262,-0.049872,-0.0026499,0.95054,-0.257,0.14359,-0.099025,6.7506,0.12169,1.9268,-0.090126,0.43613,-0.44549
0.3,2.0959,-0.058065,-0.0023069,0.95003,-0.25698,0.14526,-0.10151,6.7507,0.091993,1.9313,0.07231,0.47554,-0.36838
0.31,2.1655,-0.066944,-0.0019154,0.94975,-0.25605,0.14715,-0.10377,6.7497,0.060091,1.9374,0.22972,0.51092,-0.29093
0.32,2.235,-0.076369,-0.0014876,0.94963,-0.25442,0.1492,-0.10585,6.748,0.026437,1.9446,0.38638,0.5425,-0.21321
0.33,2.3044,-0.086162,-0.0010452,0.94965,-0.25228,0.15132,-0.1078,6.7457,-0.008007,1.9524,0.5525,0.56878,-0.13581
0.34,2.3738,-0.096873,-0.00056622,0.95,-0.24885,0.1536,-0.10944,6.7421,-0.044431,1.9618,0.74234,0.58178,-0.059209
0.35,2.443,-0.10789,-8.2549e-05,0.95047,-0.24492,0.15589,-0.11099,6.7381,-0.080972,1.9714,0.94177,0.58823,0.016389
0.36,2.5122,-0.11982,0.00040572,0.95136,-0.23939,0.15812,-0.11225,6.7331,-0.11715,1.9811,1.1692,0.57332,0.087794
0.37,2.5811,-0.13247,0.00087105,0.95264,-0.23241,0.1601,-0.11331,6.7277,-0.15105,1.9892,1.4153,0.53867,0.15286
0.38,2.65,-0.14549,0.001324,0.95406,-0.22468,0.16194,-0.11427,6.7222,-0.18373,1.9965,1.6706,0.49402,0.21464
0.39,2.7187,-0.159,0.0017379,0.95575,-0.2158,0.16344,-0.11512,6.7169,-0.21317,2.0014,1.9326,0.43551,0.26957
0.4,2.7873,-0.17315,0.0021008,0.95777,-0.20543,0.16447,-0.11583,6.7119,-0.23837,2.0033,2.2035,0.35886,0.31555
0.41,2.8558,-0.18767,0.0024181,0.95994,-0.19414,0.16512,-0.11648,6.7074,-0.26,2.0027,2.4726,0.27303,0.3548
0.42,2.9241,-0.20288,0.002636,0.96244,-0.18109,0.16497,-0.11707,6.7043,-0.27395,1.9968,2.7328,0.17116,0.37989
0.43,2.9922,-0.21867,0.0027358,0.96518,-0.16648,0.16389,-0.11768,6.7034,-0.2789,1.9848,2.9618,0.061567,0.38938
0.44,3.0602,-0.23463,0.0028052,0.96781,-0.15143,0.16254,-0.11828,6.7031,-0.28154,1.9714,3.1826,-0.050017,0.39484
0.45,3.1281,-0.25101,0.0027708,0.97046,-0.13537,0.16038,-0.11897,6.705,-0.27616,1.9529,3.3541,-0.15835,0.38708
0.46,3.1959,-0.26771,0.0026618,0.97302,-0.11858,0.15763,-0.1197,6.7086,-0.26502,1.9307,3.4901,-0.26434,0.3698
0.47,3.2636,-0.2847,0.0024761,0.9754,-0.10135,0.15426,-0.12053,6.7143,-0.24768,1.905,3.566,-0.35785,0.34279
0.48,3.3311,-0.30197,0.0022169,0.97756,-0.083865,0.15032,-0.12147,6.7219,-0.22421,1.8759,3.5708,-0.43475,0.30643
0.49,3.3987,-0.31955,0.0018943,0.97937,-0.067065,0.14595,-0.12258,6.7319,-0.19448,1.8449,3.4344,-0.4728,0.26188
0.5,3.4662,-0.33715,0.0015679,0.98089,-0.050288,0.14151,-0.12367,6.742,-0.16438,1.8138,3.2895,-0.50849,0.21683
0.51,3.5336,-0.35495,0.0012393,0.98202,-0.035284,0.13716,-0.1248,6.7526,-0.13268,1.7845,3.0055,-0.50222,0.17135
0.52,3.6011,-0.37282,0.00091001,0.98288,-0.020933,0.13284,-0.12594,6.7635,-0.10039,1.7559,2.67,-0.48042,0.12572
0.53,3.6686,-0.39079,0.00063017,0.98342,-0.0091477,0.1291,-0.12699,6.773,-0.070968,1.7324,2.2367,-0.42285,0.086341
0.54,3.7361,-0.40882,0.00039563,0.98376,0.0006327,0.12589,-0.12793,6.7811,-0.044849,1.7133,1.7586,-0.34442,0.053017
0.55,3.8036,-0.42689,0.00025403,0.98391,0.006531,0.12389,-0.12855,6.7859,-0.027687,1.7031,1.2453,-0.24704,0.033401
0.56,3.8711,-0.44496,0.00011243,0.98402,0.012429,0.12189,-0.12917,6.7906,-0.010525,1.6928,0.73202,-0.14966,0.013786
0.57,3.9386,-0.46305,5.576e-05,0.98405,0.014439,0.12119,-0.12939,6.792,-0.0043917,1.6905,0.37061,-0.077123,0.0067141
0.58,4.0062,-0.48115,1.0909e-05,0.98407,0.015907,0.12068,-0.12956,6.7929,0.00020724,1.6893,0.030373,-0.0080457,0.0013871
